"Name","Profession","Company","Food and beverage category","Brands","Ethnicity","Age","Links","Notes"
"Manson, Marilyn","Musician","Absinthe Maninthe","Alcohol ","Absinthe Maninthe","WME","46.0","http://hiphopwired.com/2014/10/30/drankin-21-celebrity-alcohol-endorsements-photos/15/","NA"
"Mathers, Marshall Bruce, III ""Eminem""","Musician","Unilever","SSB","Brisk (Lipton)","WME","43.0","https://www.youtube.com/watch?v=kFh16njSCJ4","NA"
"Matthews, Dave ","Musician","Dreaming Tree Wines","Alcohol ","Dreaming Tree Wines","WME","49.0","http://hiphopwired.com/2014/10/30/drankin-21-celebrity-alcohol-endorsements-photos/18/","NA"
"McBride, Martina","Musician","Sunny Delight Beverage Company","SSB","Sunny D","WFE","48.0","http://www.celebrityendorsementads.com/celebrity-endorsements/celebrities/martina-mcbride/","NA"
"McCormick, Malcolm James ""Mac Miller""","Musician","PepsiCo","SSB","Mountain Dew","WME","24.0","http://www.clipcartel.com/Lil-Wayne-Mac-Miller-Mountain-Dew-Commercial-video.2231.html","NA"
"McCullough, Bernard Jeffrey ""Bernie Mac""","Actor","Milk PEP","Dairy","Got Milk","BME","50.0","http://www.bambootrading.com/1700-1/1700-21.JPG","NA"
"McGraw, Phil, Dr.","TV personality","Milk PEP","Dairy","Got Milk","WME","65.0","http://file.vintageadbrowser.com/bc6t3zzqv5jo6g.jpg","NA"
"McLean, A.J.","Musician","Milk PEP","Dairy","Got Milk","WME","37.0","http://images.lifeandstylemag.com/uploads/photos/file/45375/backstreet-boys-got-milk-ad.jpg","NA"
"Menounos, Maria","Actress","Dunkin Brands","QSR","Dark Roast Coffee","LFE","37.0","http://www.zimbio.com/photos/Maria+Menounos/Dunkin+Donuts+Dark+Roast+Ceremonial+First/k9o57uyVQO7","NA"
"Milian, Christina","Musician","Chicken and Rice Company","QSR","Chicken & Rice","BFE","33.0","http://www.youngmoney.com/post/8707/christina-milian-announces-partnership-with-chicken-and-rice#.VYwxCOcsyTU","NA"
"Minaj, Nicki","Musician","PepsiCo","SSB","Pepsi","MFE","32.0","https://www.youtube.com/watch?v=IEIMCBztA9Y","NA"
"Minogue, Kylie ","Actress","TCCC","Water","Smartwater","WFE","47.0","http://www.gettyimages.com/detail/news-photo/general-view-of-the-atmosphere-at-the-uk-launch-of-glaceau-news-photo/454283662","NA"
"Moore, Mandy","Musician","Milk PEP","Dairy","Got Milk","WFE","31.0","https://s-media-cache-ak0.pinimg.com/736x/26/8f/21/268f21ea1680cd6b1905c8bc301844b3.jpg","NA"
"Morton, PJ ""Maroon 5""","Musician","TCCC","SSB","Coca-Cola","BME","35.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b18","NA"
"Morton, PJ ""Maroon 5""","Musician","Dr Pepper Snapple Group","SSB","Snapple","BME","35.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b19","NA"
"Moss, Kate","Model","Milk PEP","Dairy","Got Milk","WFE","41.0","http://superettepopup.com/wp-content/uploads/2012/08/kate-moss-got-milk1-469x640.jpg","NA"
"Mowry, Tia","Actress","PHA","Fruit and Vegetables","FNV","BFE","37.0","http://www.fnv.com/dist/images/team/team-mowry.jpg","NA"
"Muniz, Frankie","Actor","Milk PEP","Dairy","Got Milk","WME","29.0","http://i.huffpost.com/gen/1641000/thumbs/o-GOT-MILK-570.jpg","NA"
"Muniz, Marco Antonio ""Marc Anthony""","Musician","Milk PEP","Dairy","Got Milk","LME","47.0","http://www.bambootrading.com/1700-1/1700-25.JPG","NA"
"Myers, Mike","Actor","Milk PEP","Dairy","Got Milk","WME","52.0","http://media4.popsugar-assets.com/files/2014/02/24/997/n/1922398/d57da382305d757f_01290910.jpg.xxxlarge/i/Mike-Myers-suited-up-his-Austin-Powers-gear-yeah-baby.jpg","NA"
"Navedo, Andrea","Actress","PHA","Fruit and Vegetables ","FNV","LFE","37.0","https://www.youtube.com/watch?v=nthG3pm0dAo","NA"
"Nelson , Willlie ","Musician","Willlie Nelson ","Alcohol","Whiskey River Bourbon","WME","82.0","http://www.alcoholjustice.org/watchdogging-2/in-the-doghouse/850-hot-in-hollywood-celebs-shilling-for-and-owning-alcohol-brands?highlight=WyJjZWxlYnJpdHkiLCJjZWxlYnJhdGUiLCJjZWxlYnJhdGVkIiwiY2VsZWJyYXRpb25zIiwiY2VsZWJyaXRpZXMiLCJjZWxlYnJhdGluZyIsImNlbGVicmF0aW9uIiwiY2VsZWJyYXRlcyJd","NA"
"O'brien, Conan","TV personality","Milk PEP","Dairy","Got Milk","WME","53.0","http://ecx.images-amazon.com/images/I/51QaojxBy0L._SX342_.jpg","NA"
"Olsen, Ashley","Actress","Milk PEP","Dairy","Got Milk","WFE","29.0","http://assets.nydailynews.com/polopoly_fs/1.1701062!/img/httpImage/image.jpg_gen/derivatives/article_970/olsen-twins-ad.jpg","NA"
"Olsen, Mary Kate","Actress","Milk PEP","Dairy","Got Milk","WFE","29.0","http://assets.nydailynews.com/polopoly_fs/1.1701062!/img/httpImage/image.jpg_gen/derivatives/article_970/olsen-twins-ad.jpg","NA"
"Panettiere, Hayden","Actress","Milk PEP","Dairy","Got Milk","WFE","26.0","http://www.eonline.com/eol_images/Entire_Site/2014125/rs_634x851-140225145831-634-Hayden-panettiere-got-milk.ls.22514.jpg","NA"
"Patton, Paula ","Actress","PepsiCo","LCB","Pepsi Next","MFE","40.0","http://www.huffingtonpost.com/2012/04/10/paula-patton-new-pepsi-next-spokeswoman_n_1415146.html","NA"
"Payne, Liam James ""One Direction""","Musician","Mondelez","Sweet","Nabisco","WME","22.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b34","NA"
"Payne, Liam James ""One Direction""","Musician","PepsiCo","SSB","Pepsi","WME","22.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b35","NA"
"Perlman, Rhea","Actress","Milk PEP","Dairy","Got Milk","WFE","67.0","http://file.vintageadbrowser.com/ijuvoyedfr0hl7.jpg","NA"
"Perry, Katy","Musician","Popchips, Inc.","Salty","Popchips","WFE","30.0","http://www.shoppingblog.com/katy-perry-is-the-face-of-popchips-830201210","NA"
"Perry, Katy","Musician","PepsiCo","SSB","Pepsi","WFE","30.0","http://www.newyorkgossipgal.com/2012/05/pepsi","NA"
"Philipps, Elizabeth Jean ""Busy Philipps"" ","Actress","Bacardi Limited","Alcohol","Bacardi","WFE","36.0","http://hiphopwired.com/2014/10/30/drankin-21-celebrity-alcohol-endorsements-photos/19/","NA"
"Phillips, Peter ""Pete Rock""","Musician","TCCC","SSB","Sprite","BME","45.0","https://www.youtube.com/watch?v=FX1ZANtn0r0","NA"
"Pierce, David Hyde","Actor ","Milk PEP","Dairy ","Got Milk","WME","56.0","http://file.vintageadbrowser.com/efs0dnnb5bzy5w.jpg","NA"
"Pitt, Brad ","Actor ","Chateau Miraval","Alcohol","Miraval Rose","BME","52.0","http://fortune.com/2015/01/08/celebrities-alcohol-brands/","NA"
"Pontius, Chris ","Actor","PHA","Fruit and Vegetables","FNV","WME","41.0","","NA"
"Preston, Kelly","Actress","Milk PEP","Dairy","Got Milk","WFE","52.0","http://coolspotters.com/files/photos/342795/kelly-preston-and-got-milk-gallery.jpg","NA"
"Prince, Freddie, Jr.","Actor","Milk PEP","Dairy","Got Milk","WME","39.0","http://media3.popsugar-assets.com/files/2014/02/24/995/n/1922398/57782bda4c3760dc_3202589993_db0574b76c_o.jpg.xxxlarge/i/Freddie-Prinze-Jr-gave-sweet-smirk-his-Got-Milk.jpg","NA"
"Ramirez, Sara","Actress","Milk PEP","Dairy","Got Milk","LFE","40.0","http://cdn01.cdn.justjared.com/wp-content/uploads/2007/06/ramirez-got-milk/sara-ramirez-got-milk-01.jpg","NA"
"Ratliff, Ellington ""R5""","Musician","PHA","Fruit and Vegetables ","FNV","WME","22.0","https://twitter.com/officialR5/status/620759291717402625","NA"
"Raymond, Usher","Musician","Milk PEP","Dairy","Got Milk","BME","36.0","http://notanotherflyer.com/wp-content/uploads/2014/03/usher-got-milk.jpg","NA"
"Raymond, Usher","Musician","General Mills, Inc.","Cereal","Honey Nut Cheerios","BME","36.0","http://www.xtinedanielle.com/cheerios-usher-exclusive-song/","NA"
"Raymond, Usher","Musician","Mars, Inc.","Candy","Twix","BME","36.0","https://www.pinterest.com/pin/306174474638779490/","NA"
"Richardson, Kevin","Musician","Milk PEP","Dairy","Got Milk","WME","44.0","http://images.lifeandstylemag.com/uploads/photos/file/45375/backstreet-boys-got-milk-ad.jpg","NA"
"Rimes, LeeAnn","Musician","Milk PEP","Dairy","Got Milk","WFE","33.0","http://file.vintageadbrowser.com/91u22bc6y5r07l.jpg","NA"
"Ripoll, Shakira Isabel Mebarak","Musician","PepsiCo","SSB","Pepsi","LFE","38.0","https://images.search.yahoo.com/images/view;_ylt=AwrB8p6RKIxVH0cAp6kunIlQ;_ylu=X3oDMTIyOHFodWo5BHNlYwNzcgRzbGsDaW1nBG9pZAM2OWRkYWRlYmRlZDRhN2RiZjkzNTVjNDQ0MzM2MTA1NwRncG9zAzIEaXQDYmluZw--?.origin=&back=https%3A%2F%2Fimages.search.yahoo.com%2Fyhs%2Fsearch%3Fp%3Dshakira%2Bpepsi%26fr%3Dyhs-mozilla-002%26fr2%3Dpiv-web%26hsimp%3Dyhs-002%26hspart%3Dmozilla%26tab%3Dorganic%26ri%3D2&w=300&h=300&imgurl=upload.wikimedia.org%2Fwikipedia%2Fuk%2Fb%2Fbe%2FShakira_pepsi_e.p.jpg&rurl=http%3A%2F%2Fuk.wikipedia.org%2Fwiki%2F%25D0%25A4%25D0%25B0%25D0%25B9%25D0%25BB%3AShakira_pepsi_e.p.jpg&size=29.8KB&name=%D0%A4%D0%B0%D0%B9%D0%BB%3A%3Cb%3EShakira+pepsi%3C%2Fb%3E+e.p.jpg&p=shakira+pepsi&oid=69ddadebded4a7dbf9355c4443361057&fr2=piv-web&fr=yhs-mozilla-002&tt=%D0%A4%D0%B0%D0%B9%D0%BB%3A%3Cb%3EShakira+pepsi%3C%2Fb%3E+e.p.jpg&b=0&ni=21&no=2&ts=&tab=organic&sigr=12b4brt6s&sigb=1473b5pe2&sigi=11s49oqk8&sigt=115u903m9&sign=115u903m9&.crumb=0M2.3jhAHLm&fr=yhs-mozilla-002&fr2=piv-web&hsimp=yhs-002&hspart=mozilla","NA"
"Ripoll, Shakira Isabel Mebarak","Musician","The Dannon Company","Dairy","Activia Yogurt","LFE","38.0","https://www.youtube.com/watch?v=etjhtRPN__0","NA"
"Ritter, Tyson","Musician","Milk PEP","Dairy ","Got Milk","WME","31.0","https://s-media-cache-ak0.pinimg.com/236x/1c/a6/03/1ca603fd8fb7f390f5e4024005dc1a05.jpg","NA"
"Robison, Emily","Musician","Milk PEP","Dairy","Got Milk","WFE","43.0","http://www.bambootrading.com/2100/2176.JPG","NA"
"Rodrigues, Harry Bauer ""Baauer""","Musician","A&W Restaurants","QSR","A&W Restaurants","WME","27.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b2","NA"
"Rodrigues, Harry Bauer ""Baauer""","Musician","Dr Pepper Snapple Group","SSB","Dr Pepper","WME","27.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b3","NA"
"Rodrigues, Harry Bauer ""Baauer""","Musician","Nestle","Others","Hot Pockets","WME","27.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b4","NA"
"Rodrigues, Harry Bauer ""Baauer""","Musician","Red Bull GmbH","SSB","Red Bull","WME","27.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b5","NA"
"Rodrigues, Harry Bauer ""Baauer""","Musician","PepsiCo","SSB","Pepsi","WME","27.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b6","NA"
"Romano, Ray","Actor ","Milk PEP","Dairy","Got Milk","WME","57.0","http://www.bambootrading.com/milk/1732.JPG","NA"
"Romijn, Rebecca","Model","Milk PEP","Dairy","Got Milk","WFE","42.0","http://acimg.auctivacommerce.com/imgdata/0/2/4/6/4/0/webimg/4155850.jpg","NA"
"Ross, Marion","Actress","Milk PEP","Dairy","Got Milk","WFE","86.0","https://www.google.com/search?q=florence+henderson+got+milk&client=safari&rls=en&tbm=isch&tbo=u&source=univ&sa=X&ved=0CB0QsARqFQoTCISXg5iS3sgCFYHZPgod8pwFbQ&biw=1277&bih=633#imgrc=blHPCXYYur9s_M%3A","NA"
"Rossellini, Isabella","Actress","Milk PEP","Dairy","Got Milk","WFE","63.0","http://file.vintageadbrowser.com/83b5c55xc2aj2s.jpg","NA"
"Rowland, Kelly","Musician","McDonald's Corporation","QSR","McDonald's","BFE","34.0","https://images.search.yahoo.com/images/view;_ylt=AwrB8o68KYxVHWQALXMunIlQ;_ylu=X3oDMTIzc2cyb3BsBHNlYwNzcgRzbGsDaW1nBG9pZANkYzI3ZDBhMGZmMWFhMThmZTljNGUwNjgzZjMxNTAyNgRncG9zAzY2BGl0A2Jpbmc-?.origin=&back=https%3A%2F%2Fimages.search.yahoo.com%2Fyhs%2Fsearch%3Fp%3Djustin%2Btimberlake%2Bmcdonald%2527s%26fr%3Dyhs-mozilla-002%26fr2%3Dpiv-web%26hsimp%3Dyhs-002%26hspart%3Dmozilla%26nost%3D1%26tab%3Dorganic%26ri%3D66&w=1200&h=630&imgurl=media.meltyfood.fr%2Farticle-1580552-fb-f1372259114%2Fdestiny-s-child-mcdonald-s-pub.jpg&rurl=http%3A%2F%2Fwww.meltyfood.fr%2Fjustin-timberlake-beyonce-michael-jordan-ces-stars-qui-ont-fait-de-la-pub-pour-mcdonald-s-a189819.html&size=114.0KB&name=destiny-s-child-%3Cb%3Emcdonald-s%3C%2Fb%3E-pub.jpg&p=justin+timberlake+mcdonald%27s&oid=dc27d0a0ff1aa18fe9c4e0683f315026&fr2=piv-web&fr=yhs-mozilla-002&tt=destiny-s-child-%3Cb%3Emcdonald-s%3C%2Fb%3E-pub.jpg&b=61&ni=21&no=66&ts=&tab=organic&sigr=13uqbo0av&sigb=150sqr1q8&sigi=12kbrdfi9&sigt=119u7vogr&sign=119u7vogr&.crumb=0M2.3jhAHLm&fr=yhs-mozilla-002&fr2=piv-web&hsimp=yhs-002&hspart=mozilla","NA"
